,Unnamed: 0,track_name,price,rating_count_tot,user_rating,prime_genre
226,257,WolframAlpha,2.99,7410,4.0,4
227,258,Catan,1.99,15175,4.0,0
228,259,ScanBizCards Business Card Reader,0.99,3166,4.0,11
229,261,"Walgreens – Pharmacy, Photo, Coupons and Shopping",0.0,88885,4.5,3
230,262,King of Dragon Pass,9.99,882,5.0,0
231,263,Stylebook,3.99,1729,4.0,17
232,264,NBA,0.0,43682,3.5,10
233,265,Blower,0.99,861,2.0,13
234,266,My Cycles Period and Ovulation Tracker,0.0,7469,3.5,12
235,267,"Kmart – Download Now, Shop Online & Pick Up Today!",0.0,4186,3.5,3
236,268,优酷视频,0.0,4885,3.5,13
237,269,DOOM Classic,4.99,3970,4.0,0
238,270,SoundCloud - Music & Audio,0.0,135744,4.0,6
239,271,imo video calls and chat,0.0,18841,4.0,9
240,272,Plane Finder - Flight Tracker,3.99,1438,4.0,15
241,274,"Runtastic Running, Jogging and Walking Tracker",0.0,10298,4.5,12
242,275,iFiles,0.99,1842,3.5,1
243,276,TeachMe: Kindergarten,1.99,2548,4.0,16
244,277,Moorhuhn Deluxe - Crazy Chicken,0.99,319,3.0,0
245,278,Victoria’s Secret – The Sexiest Bras & Lingerie,0.0,34507,3.5,3
246,279,MONOPOLY Game,0.99,26482,3.5,0
247,281,n-tv Nachrichten,0.0,273,3.0,19
248,282,Shazam Encore,2.99,8331,4.0,6
249,283,Harry Potter: Spells,0.99,17023,4.0,0
250,284,First Words Deluxe,4.99,1101,4.0,0
251,285,Clay Hunt,0.99,1193,4.0,0
252,286,Dream Team - be your own fantasy football manager,0.0,35,2.5,10
253,287,Jet Car Stunts,1.99,4088,4.0,0
254,288,Call of Duty: Zombies,4.99,63943,4.0,0
255,289,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",0.0,70286,3.0,3
256,290,AirWatch Agent,0.0,1150,2.5,11
257,291,Shop Savvy Barcode Scanner - Price Compare & Deals,0.0,54630,2.5,3
258,292,Voice Changer Plus,0.0,98777,3.0,13
259,293,CatPaint,0.99,649,4.0,14
260,294,Redbox,0.0,60236,3.0,13
261,295,クックパッド - No.1料理レシピ検索アプリ,0.0,115,3.5,18
262,296,Trenches,0.99,26732,4.0,0
263,297,The Christmas List,1.99,2722,4.5,3
264,298,Macy's,0.0,11013,3.5,3
265,299,Calorie Counter & Diet Tracker by MyFitnessPal,0.0,507706,4.5,12
266,300,BlaBlaCar - Trusted Carpooling,0.0,397,4.5,8
267,301,Refills Calendar - Scheduler - Note,9.99,196,4.0,1
268,302,5-0 Radio Pro Police Scanner (Extra Feeds),3.99,24553,4.0,19
